Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Nacional
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 15:53:13 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
8,01ACN-85,2331.99,2263.33,68.67,0
9,01ACN-85,2517.19,2467.91,49.27,0
10,01ACN-85,2460.67,2434.36,26.32,0
11,01ACN-85,2795.59,2772.97,22.62,0
12,01ACN-85,2792.13,2769.26,22.87,0
13,01ACN-85,2441.76,2413,28.76,0
14,01ACN-85,2826.31,2790.45,35.86,0
15,01ACN-85,2987.4,2936.67,50.73,0
16,01ACN-85,3263.55,3207.34,56.22,0
17,01ACN-85,3567.11,3503.28,63.83,0
18,01ACN-85,3231.93,3166.75,65.18,0
19,01ACN-85,2692.35,2634.21,58.15,0
20,01ACN-85,2271.87,2212.98,58.89,0
21,01ACN-85,2684.24,2603.48,80.77,0
22,01ACN-85,2938.91,2859.27,79.64,0
23,01ACN-85,2736.94,2692.28,44.66,0
24,01ACN-85,2337.57,2303.78,33.79,0
1,01ACO-230,2147.63,2114.11,33.53,0
2,01ACO-230,1349.28,1328.59,20.69,0
3,01ACO-230,1146.28,1129.97,16.32,0
4,01ACO-230,1217.89,1198.05,19.85,0
5,01ACO-230,1188.71,1168.83,19.88,0
6,01ACO-230,1146.37,1124.05,22.31,0
7,01ACO-230,1485.18,1459.34,25.83,0
8,01ACO-230,2290.83,2263.33,27.5,0
9,01ACO-230,2467.61,2467.91,-.31,0
10,01ACO-230,2411.84,2434.36,-22.52,0
11,01ACO-230,2744.17,2772.97,-28.79,0
12,01ACO-230,2741.75,2769.26,-27.51,0
13,01ACO-230,2397.96,2413,-15.04,0
14,01ACO-230,2775.36,2790.45,-15.1,0
15,01ACO-230,2934.88,2936.67,-1.79,0
16,01ACO-230,3206.3,3207.34,-1.04,0
17,01ACO-230,3503.53,3503.28,.25,0
18,01ACO-230,3175.3,3166.75,8.55,0
19,01ACO-230,2645.59,2634.21,11.38,0
20,01ACO-230,2232.19,2212.98,19.21,0
21,01ACO-230,2638.47,2603.48,35,0
22,01ACO-230,2889.19,2859.27,29.92,0
23,01ACO-230,2691.62,2692.28,-.67,0
24,01ACO-230,2300.66,2303.78,-3.12,0
1,01ACS-230,2144.6,2114.11,30.5,0
2,01ACS-230,1347.97,1328.59,19.38,0
3,01ACS-230,1145.57,1129.97,15.6,0
4,01ACS-230,1217.31,1198.05,19.26,0
5,01ACS-230,1187.02,1168.83,18.19,0
6,01ACS-230,1144.98,1124.05,20.93,0
7,01ACS-230,1482.14,1459.34,22.8,0
8,01ACS-230,2284.52,2263.33,21.2,0
9,01ACS-230,2461.11,2467.91,-6.8,0
10,01ACS-230,2404.89,2434.36,-29.47,0
11,01ACS-230,2743.05,2772.97,-29.92,0
12,01ACS-230,2741.07,2769.26,-28.18,0
13,01ACS-230,2398.7,2413,-14.3,0
14,01ACS-230,2772.93,2790.45,-17.53,0
15,01ACS-230,2927.13,2936.67,-9.54,0
16,01ACS-230,3197.92,3207.34,-9.42,0
17,01ACS-230,3496.57,3503.28,-6.71,0
18,01ACS-230,3167.46,3166.75,.71,0
19,01ACS-230,2637.32,2634.21,3.11,0
20,01ACS-230,2224.41,2212.98,11.43,0
21,01ACS-230,2624.94,2603.48,21.46,0
22,01ACS-230,2874.59,2859.27,15.32,0
23,01ACS-230,2682.88,2692.28,-9.41,0
24,01ACS-230,2298.23,2303.78,-5.55,0
1,01AGU-230,2176.3,2114.11,62.2,0
2,01AGU-230,1365.34,1328.59,36.75,0
3,01AGU-230,1159.57,1129.97,29.61,0
4,01AGU-230,1231.34,1198.05,33.29,0
5,01AGU-230,1203.03,1168.83,34.2,0
6,01AGU-230,1161.01,1124.05,36.95,0
7,01AGU-230,1507.52,1459.34,48.18,0
8,01AGU-230,2327.86,2263.33,64.54,0
9,01AGU-230,2511.03,2467.91,43.12,0
10,01AGU-230,2453.73,2434.36,19.37,0
11,01AGU-230,2785.81,2772.97,12.84,0
12,01AGU-230,2780.93,2769.26,11.68,0
13,01AGU-230,2432.24,2413,19.24,0
14,01AGU-230,2814.96,2790.45,24.51,0
15,01AGU-230,2976.37,2936.67,39.69,0
16,01AGU-230,3251.17,3207.34,43.84,0
17,01AGU-230,3551.52,3503.28,48.24,0
18,01AGU-230,3218.73,3166.75,51.97,0
19,01AGU-230,2682.23,2634.21,48.02,0
20,01AGU-230,2263.96,2212.98,50.98,0
21,01AGU-230,2675.49,2603.48,72.01,0
22,01AGU-230,2929.49,2859.27,70.22,0
23,01AGU-230,2727.48,2692.28,35.2,0
24,01AGU-230,2326.69,2303.78,22.91,0
1,01AGV-85,2190.43,2114.11,76.32,0
2,01AGV-85,1374.21,1328.59,45.62,0
3,01AGV-85,1166.23,1129.97,36.26,0
4,01AGV-85,1238.94,1198.05,40.9,0
5,01AGV-85,1210.12,1168.83,41.29,0
6,01AGV-85,1168.48,1124.05,44.42,0
7,01AGV-85,1517.96,1459.34,58.62,0
8,01AGV-85,2342.39,2263.33,79.06,0
9,01AGV-85,2521.39,2467.91,53.47,0
10,01AGV-85,2462.66,2434.36,28.31,0
11,01AGV-85,2801.41,2772.97,28.44,0
12,01AGV-85,2799.23,2769.26,29.98,0
13,01AGV-85,2448.71,2413,35.71,0
14,01AGV-85,2833.18,2790.45,42.73,0
15,01AGV-85,2998.51,2936.67,61.84,0
16,01AGV-85,3276.42,3207.34,69.08,0
17,01AGV-85,3578.77,3503.28,75.49,0
18,01AGV-85,3245.34,3166.75,78.58,0
19,01AGV-85,2705.93,2634.21,71.72,0
20,01AGV-85,2289.55,2212.98,76.57,0
21,01AGV-85,2716.94,2603.48,113.46,0
22,01AGV-85,2981.16,2859.27,121.89,0
23,01AGV-85,2769.21,2692.28,76.93,0
24,01AGV-85,2353.93,2303.78,50.15,0
1,01AIN-115,2183.65,2114.11,69.54,0
2,01AIN-115,1368.98,1328.59,40.39,0
3,01AIN-115,1163.62,1129.97,33.65,0
4,01AIN-115,1235.5,1198.05,37.45,0
5,01AIN-115,1208.13,1168.83,39.3,0
6,01AIN-115,1165.82,1124.05,41.76,0
7,01AIN-115,1516.41,1459.34,57.07,0
8,01AIN-115,2342.79,2263.33,79.46,0
9,01AIN-115,2531.78,2467.91,63.87,0
10,01AIN-115,2472.26,2434.36,37.9,0
11,01AIN-115,2792.98,2772.97,20.01,0
12,01AIN-115,2784.63,2769.26,15.38,0
13,01AIN-115,2433.95,2413,20.94,0
14,01AIN-115,2816.44,2790.45,25.99,0
15,01AIN-115,2975.35,2936.67,38.68,0
16,01AIN-115,3249.84,3207.34,42.5,0
17,01AIN-115,3549.69,3503.28,46.42,0
18,01AIN-115,3215.33,3166.75,48.58,0
19,01AIN-115,2680.47,2634.21,46.26,0
20,01AIN-115,2263.64,2212.98,50.66,0
21,01AIN-115,2679.24,2603.48,75.77,0
22,01AIN-115,2936.9,2859.27,77.63,0
23,01AIN-115,2736.1,2692.28,43.81,0
24,01AIN-115,2331.66,2303.78,27.88,0
1,01ALR-85,2169.6,2114.11,55.5,0
2,01ALR-85,1361.79,1328.59,33.2,0
3,01ALR-85,1157.39,1129.97,27.42,0
4,01ALR-85,1228.95,1198.05,30.9,0
5,01ALR-85,1200.03,1168.83,31.2,0
6,01ALR-85,1158.33,1124.05,34.27,0
7,01ALR-85,1503.91,1459.34,44.57,0
8,01ALR-85,2323.1,2263.33,59.77,0
9,01ALR-85,2507.1,2467.91,39.19,0
10,01ALR-85,2450.15,2434.36,15.8,0
11,01ALR-85,2782.2,2772.97,9.23,0
12,01ALR-85,2778.22,2769.26,8.97,0
13,01ALR-85,2428.97,2413,15.97,0
14,01ALR-85,2811.66,2790.45,21.21,0
15,01ALR-85,2972,2936.67,35.33,0
16,01ALR-85,3246.75,3207.34,39.41,0
17,01ALR-85,3549.86,3503.28,46.59,0
18,01ALR-85,3216.12,3166.75,49.37,0
19,01ALR-85,2679.37,2634.21,45.16,0
20,01ALR-85,2261.71,2212.98,48.73,0
21,01ALR-85,2671.21,2603.48,67.73,0
22,01ALR-85,2925.74,2859.27,66.47,0
23,01ALR-85,2725.91,2692.28,33.62,0
24,01ALR-85,2329.73,2303.78,25.95,0
1,01AMO-85,2199.07,2114.11,84.96,0
2,01AMO-85,1378.86,1328.59,50.27,0
3,01AMO-85,1171.01,1129.97,41.04,0
4,01AMO-85,1242.76,1198.05,44.71,0
5,01AMO-85,1215.64,1168.83,46.81,0
6,01AMO-85,1173.59,1124.05,49.54,0
7,01AMO-85,1525.91,1459.34,66.57,0
8,01AMO-85,2359.24,2263.33,95.91,0
9,01AMO-85,2546.96,2467.91,79.05,0
10,01AMO-85,2490.73,2434.36,56.37,0
11,01AMO-85,2820.63,2772.97,47.67,0
12,01AMO-85,2812.87,2769.26,43.61,0
13,01AMO-85,2458.06,2413,45.06,0
14,01AMO-85,2843.61,2790.45,53.16,0
15,01AMO-85,3005.07,2936.67,68.4,0
16,01AMO-85,3283.14,3207.34,75.8,0
17,01AMO-85,3587.4,3503.28,84.12,0
18,01AMO-85,3249.63,3166.75,82.88,0
19,01AMO-85,2707.46,2634.21,73.26,0
20,01AMO-85,2285.47,2212.98,72.49,0
21,01AMO-85,2699.34,2603.48,95.86,0
22,01AMO-85,2958.11,2859.27,98.84,0
23,01AMO-85,2758.57,2692.28,66.29,0
24,01AMO-85,2350.36,2303.78,46.58,0
1,01ANL-85,2220.85,2114.11,106.74,0
2,01ANL-85,1391.3,1328.59,62.71,0
3,01ANL-85,1180.68,1129.97,50.71,0
4,01ANL-85,1253.74,1198.05,55.69,0
5,01ANL-85,1223.18,1168.83,54.35,0
6,01ANL-85,1180.78,1124.05,56.73,0
7,01ANL-85,1537.36,1459.34,78.02,0
8,01ANL-85,2375.23,2263.33,111.91,0
9,01ANL-85,2566.6,2467.91,98.68,0
10,01ANL-85,2512.18,2434.36,77.82,0
11,01ANL-85,2862.44,2772.97,89.47,0
12,01ANL-85,2860.89,2769.26,91.63,0
13,01ANL-85,2498.7,2413,85.7,0
14,01ANL-85,2890.91,2790.45,100.45,0
15,01ANL-85,3058.79,2936.67,122.12,0
16,01ANL-85,3342.66,3207.34,135.32,0
