Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Baja California
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 13:51:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
17,07CES-69,470.52,466.99,3.53,0
18,07CES-69,498.52,495.07,3.46,0
19,07CES-69,487.16,484.05,3.12,0
20,07CES-69,511.74,508.55,3.18,0
21,07CES-69,489.37,486.17,3.2,0
22,07CES-69,494.18,490.79,3.39,0
23,07CES-69,488.15,485.04,3.12,0
24,07CES-69,482.96,480.09,2.88,0
1,07CHQ-230,451.27,461.73,-10.46,0
2,07CHQ-230,420.93,431.18,-10.25,0
3,07CHQ-230,420.66,431.86,-11.2,0
4,07CHQ-230,420.18,432.32,-12.15,0
5,07CHQ-230,419.98,432.85,-12.87,0
6,07CHQ-230,420.07,434.27,-14.2,0
7,07CHQ-230,454.95,468.68,-13.74,0
8,07CHQ-230,450.26,467.58,-17.33,0
9,07CHQ-230,451.54,468.39,-16.85,0
10,07CHQ-230,451.02,468.47,-17.46,0
11,07CHQ-230,464.78,481.97,-17.19,0
12,07CHQ-230,486.93,503.98,-17.05,0
13,07CHQ-230,461.51,476.88,-15.37,0
14,07CHQ-230,443.13,458.33,-15.21,0
15,07CHQ-230,439.17,451.75,-12.58,0
16,07CHQ-230,448.36,457.29,-8.93,0
17,07CHQ-230,459.36,466.99,-7.63,0
18,07CHQ-230,486,495.07,-9.07,0
19,07CHQ-230,474.4,484.05,-9.65,0
20,07CHQ-230,497.32,508.55,-11.23,0
21,07CHQ-230,475.71,486.17,-10.46,0
22,07CHQ-230,481.12,490.79,-9.67,0
23,07CHQ-230,475.46,485.04,-9.58,0
24,07CHQ-230,471.31,480.09,-8.78,0
1,07CIP-115,464.3,461.73,2.57,0
2,07CIP-115,434.05,431.18,2.88,0
3,07CIP-115,434.6,431.86,2.74,0
4,07CIP-115,434.96,432.32,2.63,0
5,07CIP-115,435.55,432.85,2.7,0
6,07CIP-115,437.07,434.27,2.8,0
7,07CIP-115,470.95,468.68,2.27,0
8,07CIP-115,470.63,467.58,3.04,0
9,07CIP-115,471.9,468.39,3.51,0
10,07CIP-115,472.03,468.47,3.55,0
11,07CIP-115,485.42,481.97,3.45,0
12,07CIP-115,507.95,503.98,3.97,0
13,07CIP-115,480.64,476.88,3.76,0
14,07CIP-115,462.66,458.33,4.33,0
15,07CIP-115,456.41,451.75,4.66,0
16,07CIP-115,461.77,457.29,4.49,0
17,07CIP-115,471.09,466.99,4.1,0
18,07CIP-115,499.12,495.07,4.05,0
19,07CIP-115,487.96,484.05,3.91,0
20,07CIP-115,512.84,508.55,4.29,0
21,07CIP-115,490.63,486.17,4.46,0
22,07CIP-115,494.79,490.79,4,0
23,07CIP-115,487.73,485.04,2.69,0
24,07CIP-115,482.55,480.09,2.46,0
1,07CME-115,464.85,461.73,3.12,0
2,07CME-115,434.52,431.18,3.34,0
3,07CME-115,435.06,431.86,3.2,0
4,07CME-115,435.41,432.32,3.09,0
5,07CME-115,436,432.85,3.16,0
6,07CME-115,437.53,434.27,3.26,0
7,07CME-115,471.51,468.68,2.83,0
8,07CME-115,471.21,467.58,3.63,0
9,07CME-115,472.48,468.39,4.09,0
10,07CME-115,472.56,468.47,4.09,0
11,07CME-115,485.94,481.97,3.97,0
12,07CME-115,508.51,503.98,4.53,0
13,07CME-115,481.17,476.88,4.29,0
14,07CME-115,463.15,458.33,4.82,0
15,07CME-115,456.89,451.75,5.14,0
16,07CME-115,462.31,457.29,5.02,0
17,07CME-115,471.67,466.99,4.68,0
18,07CME-115,499.73,495.07,4.66,0
19,07CME-115,488.58,484.05,4.53,0
20,07CME-115,513.53,508.55,4.98,0
21,07CME-115,491.35,486.17,5.18,0
22,07CME-115,495.51,490.79,4.73,0
23,07CME-115,488.39,485.04,3.35,0
24,07CME-115,483.13,480.09,3.05,0
1,07CNA-69,466.14,461.73,4.41,0
2,07CNA-69,435.02,431.18,3.85,0
3,07CNA-69,435.6,431.86,3.74,0
4,07CNA-69,436.02,432.32,3.69,0
5,07CNA-69,436.55,432.85,3.71,0
6,07CNA-69,438.1,434.27,3.82,0
7,07CNA-69,473.37,468.68,4.69,0
8,07CNA-69,472.84,467.58,5.25,0
9,07CNA-69,474.11,468.39,5.72,0
10,07CNA-69,474.67,468.47,6.2,0
11,07CNA-69,488.66,481.97,6.69,0
12,07CNA-69,510.9,503.98,6.92,0
13,07CNA-69,483.37,476.88,6.49,0
14,07CNA-69,464.46,458.33,6.12,0
15,07CNA-69,457.79,451.75,6.04,0
16,07CNA-69,463.69,457.29,6.4,0
17,07CNA-69,473.46,466.99,6.47,0
18,07CNA-69,501.62,495.07,6.55,0
19,07CNA-69,490.27,484.05,6.22,0
20,07CNA-69,515.12,508.55,6.56,0
21,07CNA-69,492.99,486.17,6.82,0
22,07CNA-69,497.65,490.79,6.87,0
23,07CNA-69,491.19,485.04,6.15,0
24,07CNA-69,485.77,480.09,5.68,0
1,07CNT-230,451,461.73,-10.74,0
2,07CNT-230,421.13,431.18,-10.04,0
3,07CNT-230,421.15,431.86,-10.71,0
4,07CNT-230,420.93,432.32,-11.39,0
5,07CNT-230,420.91,432.85,-11.94,0
6,07CNT-230,421.11,434.27,-13.16,0
7,07CNT-230,456.14,468.68,-12.54,0
8,07CNT-230,451.37,467.58,-16.21,0
9,07CNT-230,452.23,468.39,-16.16,0
10,07CNT-230,451.6,468.47,-16.87,0
11,07CNT-230,465.1,481.97,-16.87,0
12,07CNT-230,486.93,503.98,-17.05,0
13,07CNT-230,461.33,476.88,-15.55,0
14,07CNT-230,442.8,458.33,-15.54,0
15,07CNT-230,438.54,451.75,-13.21,0
16,07CNT-230,447.41,457.29,-9.88,0
17,07CNT-230,458.25,466.99,-8.74,0
18,07CNT-230,484.88,495.07,-10.19,0
19,07CNT-230,473.49,484.05,-10.56,0
20,07CNT-230,496.69,508.55,-11.86,0
21,07CNT-230,474.87,486.17,-11.31,0
22,07CNT-230,480.08,490.79,-10.71,0
23,07CNT-230,474.55,485.04,-10.49,0
24,07CNT-230,470.55,480.09,-9.54,0
1,07CNZ-161,452.52,461.73,-9.21,0
2,07CNZ-161,422.35,431.18,-8.82,0
3,07CNZ-161,422.24,431.86,-9.62,0
4,07CNZ-161,421.86,432.32,-10.47,0
5,07CNZ-161,421.73,432.85,-11.12,0
6,07CNZ-161,421.86,434.27,-12.41,0
7,07CNZ-161,457.06,468.68,-11.62,0
8,07CNZ-161,452.48,467.58,-15.1,0
9,07CNZ-161,453.65,468.39,-14.74,0
10,07CNZ-161,453.28,468.47,-15.19,0
11,07CNZ-161,467.12,481.97,-14.85,0
12,07CNZ-161,489.34,503.98,-14.64,0
13,07CNZ-161,463.81,476.88,-13.07,0
14,07CNZ-161,445.37,458.33,-12.97,0
15,07CNZ-161,441.25,451.75,-10.5,0
16,07CNZ-161,450.39,457.29,-6.89,0
17,07CNZ-161,461.37,466.99,-5.62,0
18,07CNZ-161,488.01,495.07,-7.06,0
19,07CNZ-161,476.43,484.05,-7.62,0
20,07CNZ-161,499.63,508.55,-8.92,0
21,07CNZ-161,477.83,486.17,-8.34,0
22,07CNZ-161,483.1,490.79,-7.69,0
23,07CNZ-161,477.34,485.04,-7.7,0
24,07CNZ-161,472.99,480.09,-7.1,0
1,07COE-115,489.91,461.73,28.18,0
2,07COE-115,457.74,431.18,26.56,0
3,07COE-115,457.96,431.86,26.1,0
4,07COE-115,457.83,432.32,25.5,0
5,07COE-115,458.5,432.85,25.65,0
6,07COE-115,460.43,434.27,26.15,0
7,07COE-115,496,468.68,27.32,0
8,07COE-115,497.53,467.58,29.95,0
9,07COE-115,500.73,468.39,32.34,0
10,07COE-115,501.53,468.47,33.06,0
11,07COE-115,517.08,481.97,35.11,0
12,07COE-115,540.57,503.98,36.59,0
13,07COE-115,511.34,476.88,34.46,0
14,07COE-115,494.1,458.33,35.77,0
15,07COE-115,487.48,451.75,35.73,0
16,07COE-115,493.67,457.29,36.39,0
17,07COE-115,503.11,466.99,36.12,0
18,07COE-115,532.11,495.07,37.05,0
19,07COE-115,519.83,484.05,35.78,0
20,07COE-115,546.48,508.55,37.92,0
21,07COE-115,524.7,486.17,38.53,0
22,07COE-115,528.33,490.79,37.55,0
23,07COE-115,518.44,485.04,33.41,0
24,07COE-115,511.07,480.09,30.98,0
1,07CPC-161,447.64,461.73,-14.09,0
2,07CPC-161,417.71,431.18,-13.46,0
3,07CPC-161,417.54,431.86,-14.33,0
4,07CPC-161,417.14,432.32,-15.18,0
5,07CPC-161,417.04,432.85,-15.81,0
6,07CPC-161,417.15,434.27,-17.12,0
7,07CPC-161,451.92,468.68,-16.76,0
8,07CPC-161,447.3,467.58,-20.29,0
9,07CPC-161,448.54,468.39,-19.85,0
10,07CPC-161,448.17,468.47,-20.31,0
11,07CPC-161,461.86,481.97,-20.12,0
12,07CPC-161,483.79,503.98,-20.19,0
13,07CPC-161,458.45,476.88,-18.44,0
14,07CPC-161,440.17,458.33,-18.17,0
15,07CPC-161,436.2,451.75,-15.55,0
16,07CPC-161,445.28,457.29,-12.01,0
17,07CPC-161,456.17,466.99,-10.82,0
18,07CPC-161,482.57,495.07,-12.49,0
19,07CPC-161,471.13,484.05,-12.92,0
20,07CPC-161,494.06,508.55,-14.49,0
21,07CPC-161,472.49,486.17,-13.68,0
22,07CPC-161,477.74,490.79,-13.05,0
23,07CPC-161,472.05,485.04,-12.98,0
24,07CPC-161,467.81,480.09,-12.28,0
1,07CPD-230,449.44,461.73,-12.29,0
2,07CPD-230,419.37,431.18,-11.8,0
3,07CPD-230,419.2,431.86,-12.66,0
4,07CPD-230,418.78,432.32,-13.54,0
5,07CPD-230,418.64,432.85,-14.21,0
6,07CPD-230,418.8,434.27,-15.47,0
7,07CPD-230,453.59,468.68,-15.09,0
8,07CPD-230,448.89,467.58,-18.69,0
9,07CPD-230,450.13,468.39,-18.26,0
10,07CPD-230,449.53,468.47,-18.95,0
11,07CPD-230,463.14,481.97,-18.83,0
12,07CPD-230,485.11,503.98,-18.87,0
13,07CPD-230,459.7,476.88,-17.18,0
14,07CPD-230,441.24,458.33,-17.1,0
15,07CPD-230,437.21,451.75,-14.54,0
16,07CPD-230,446.26,457.29,-11.03,0
17,07CPD-230,457.17,466.99,-9.82,0
18,07CPD-230,483.7,495.07,-11.37,0
19,07CPD-230,472.22,484.05,-11.82,0
20,07CPD-230,495.15,508.55,-13.4,0
21,07CPD-230,473.52,486.17,-12.65,0
22,07CPD-230,478.83,490.79,-11.96,0
23,07CPD-230,473.22,485.04,-11.82,0
24,07CPD-230,469.27,480.09,-10.82,0
1,07CPT-230,449.25,461.73,-12.48,0
2,07CPT-230,419.21,431.18,-11.96,0
3,07CPT-230,419.05,431.86,-12.81,0
4,07CPT-230,418.63,432.32,-13.7,0
