Fecha,Hora,Zona de Carga,Precio Zonal,Energia,Perdidas,Congestion,tipo,sistema
2016-12-01,1,CONSTITUCION,1187.34,1178.31,9.03,0.0,MDA,BCS
2016-12-01,2,CONSTITUCION,1132.77,1124.57,8.2,0.0,MDA,BCS
2016-12-01,3,CONSTITUCION,1130.29,1121.56,8.72,0.0,MDA,BCS
2017-04-01,1,ACAPULCO,967.48,854.83,93.25,19.41,MDA,SIN
2017-04-01,2,ACAPULCO,880.15,764.24,84.49,31.43,MDA,SIN
2017-04-01,3,ACAPULCO,763.49,663.53,72.88,27.07,MDA,SIN
2017-03-01,1,ACAPULCO,953.04,869.89,83.15,0.0,MTR,SIN
2017-03-01,2,ACAPULCO,880.79,806.39,74.4,0.0,MTR,SIN
2017-03-01,3,ACAPULCO,828.79,765.41,63.39,0.0,MTR,SIN
