Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California Sur
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 14:13:08 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
7,07CAF-115,1750.85,1690.78,60.07,0
8,07CAF-115,1765.34,1703.33,62.01,0
9,07CAF-115,1599.36,1539.01,60.35,0
10,07CAF-115,1751.23,1680.19,71.04,0
11,07CAF-115,1841.44,1762.82,78.62,0
12,07CAF-115,1736.45,1663.96,72.49,0
13,07CAF-115,1780.64,1705.23,75.41,0
14,07CAF-115,1836.69,1759.11,77.59,0
15,07CAF-115,1854.49,1779.86,74.63,0
16,07CAF-115,1944.94,1864.98,79.97,0
17,07CAF-115,2260.5,2165.69,94.81,0
18,07CAF-115,3266.76,3138.9,127.85,0
19,07CAF-115,2111.09,2029.85,81.24,0
20,07CAF-115,2066.89,1985.25,81.64,0
21,07CAF-115,2257.38,2165.62,91.77,0
22,07CAF-115,3359.35,3230.63,128.72,0
23,07CAF-115,2091.78,2012.77,79.02,0
24,07CAF-115,1931.51,1859.24,72.27,0
1,07CAR-115,1751.29,1717.42,33.87,0
2,07CAR-115,1791.98,1762.2,29.78,0
3,07CAR-115,1657.01,1627.65,29.36,0
4,07CAR-115,1536.05,1508.3,27.75,0
5,07CAR-115,1727.72,1702.79,24.93,0
6,07CAR-115,1715.27,1690.19,25.09,0
7,07CAR-115,1714.63,1690.78,23.85,0
8,07CAR-115,1726.78,1703.33,23.45,0
9,07CAR-115,1565.93,1539.01,26.92,0
10,07CAR-115,1709.54,1680.19,29.35,0
11,07CAR-115,1791.71,1762.82,28.9,0
12,07CAR-115,1697.03,1663.96,33.07,0
13,07CAR-115,1737.84,1705.23,32.61,0
14,07CAR-115,1792.52,1759.11,33.41,0
15,07CAR-115,1814.03,1779.86,34.17,0
16,07CAR-115,1899.81,1864.98,34.83,0
17,07CAR-115,2203.89,2165.69,38.2,0
18,07CAR-115,3196.07,3138.9,57.17,0
19,07CAR-115,2065.22,2029.85,35.37,0
